Color,Size,Shape,Material,Brand,PriceLevel
Blue,Small,Triangle,Wood,BrandC,High
Black,Small,Triangle,Metal,BrandC,Medium
Blue,Medium,Square,Wood,BrandB,High
Yellow,Large,Triangle,Plastic,BrandA,Medium
Yellow,Medium,Triangle,Glass,BrandA,Medium
Yellow,Small,Round,Plastic,BrandC,High
Yellow,Medium,Round,Plastic,BrandA,Medium
Black,Small,Square,Glass,BrandC,High
Green,Medium,Triangle,Plastic,BrandC,Medium
Red,Large,Triangle,Plastic,BrandB,High
Yellow,Medium,Round,Wood,BrandB,High
Blue,Medium,Square,Wood,BrandB,Medium
Yellow,Small,Round,Glass,BrandC,Low
Blue,Small,Round,Wood,BrandB,Medium
Blue,Small,Round,Wood,BrandA,High
Yellow,Medium,Round,Plastic,BrandA,Low
Black,Large,Triangle,Metal,BrandC,Medium
Blue,Small,Triangle,Wood,BrandC,Medium
Blue,Small,Round,Metal,BrandB,Medium
Yellow,Medium,Square,Wood,BrandC,Low
Blue,Small,Square,Wood,BrandC,High
Blue,Large,Square,Glass,BrandA,Medium
Yellow,Large,Square,Glass,BrandA,Medium
Yellow,Small,Round,Glass,BrandB,Medium
Red,Small,Triangle,Metal,BrandC,Medium
Black,Medium,Square,Plastic,BrandC,Medium
Black,Large,Round,Wood,BrandA,High
Blue,Large,Square,Wood,BrandC,High
Black,Small,Square,Wood,BrandA,Medium
Blue,Medium,Round,Metal,BrandB,Low
Red,Large,Triangle,Glass,BrandA,High
Yellow,Large,Triangle,Plastic,BrandC,Low
Yellow,Medium,Round,Metal,BrandB,High
Yellow,Medium,Triangle,Glass,BrandA,Medium
Black,Large,Round,Metal,BrandA,High
Red,Large,Round,Plastic,BrandB,Medium
Black,Medium,Round,Glass,BrandB,High
Black,Large,Triangle,Metal,BrandA,Medium
Red,Small,Round,Plastic,BrandC,Medium
Red,Small,Square,Wood,BrandA,Medium
Red,Medium,Triangle,Plastic,BrandB,Medium
Red,Medium,Triangle,Wood,BrandA,Low
Yellow,Medium,Triangle,Metal,BrandB,Medium
Green,Small,Triangle,Glass,BrandB,Low
Green,Large,Square,Glass,BrandC,Low
Red,Small,Triangle,Metal,BrandB,Medium
Green,Large,Triangle,Glass,BrandB,Low
Green,Small,Round,Glass,BrandC,High
Red,Large,Triangle,Wood,BrandB,Medium
Green,Small,Square,Metal,BrandC,Low
Black,Medium,Square,Plastic,BrandC,Medium
Blue,Small,Square,Wood,BrandB,Medium
Blue,Large,Square,Metal,BrandB,Medium
Red,Small,Triangle,Wood,BrandA,Low
Yellow,Small,Triangle,Plastic,BrandC,High
Red,Small,Square,Plastic,BrandA,High
Yellow,Medium,Square,Metal,BrandB,Low
Blue,Small,Triangle,Plastic,BrandA,Medium
Red,Medium,Square,Wood,BrandC,Low
Black,Medium,Round,Plastic,BrandA,Low
Green,Small,Square,Wood,BrandC,Low
Yellow,Small,Square,Wood,BrandB,Medium
Green,Small,Round,Plastic,BrandB,Low
Green,Large,Round,Metal,BrandC,Medium
Red,Small,Triangle,Glass,BrandB,Low
Green,Medium,Triangle,Plastic,BrandB,High
Black,Small,Round,Wood,BrandB,Low
Green,Large,Round,Wood,BrandB,Low
Red,Small,Triangle,Plastic,BrandC,High
Black,Large,Square,Metal,BrandA,Medium
Blue,Large,Round,Metal,BrandA,Medium
Green,Small,Triangle,Wood,BrandB,Low
Red,Medium,Square,Wood,BrandA,High
Blue,Large,Round,Metal,BrandA,Medium
Blue,Small,Square,Glass,BrandB,Low
Yellow,Small,Triangle,Plastic,BrandB,High
Black,Medium,Round,Wood,BrandA,Medium
Green,Large,Square,Wood,BrandC,Medium
Red,Large,Round,Metal,BrandB,High
Yellow,Small,Square,Plastic,BrandC,High
Black,Small,Triangle,Metal,BrandA,High
Yellow,Medium,Triangle,Plastic,BrandB,High
Black,Medium,Round,Plastic,BrandC,Low
Black,Large,Square,Plastic,BrandB,High
Green,Large,Round,Wood,BrandA,Medium
Black,Small,Round,Glass,BrandC,Medium
Yellow,Large,Square,Metal,BrandA,Low
Black,Medium,Square,Glass,BrandA,Medium
Green,Medium,Square,Metal,BrandB,Medium
Green,Small,Triangle,Plastic,BrandC,High
Yellow,Medium,Round,Wood,BrandA,Medium
Blue,Medium,Round,Glass,BrandA,Low
Blue,Medium,Triangle,Wood,BrandC,High
Black,Medium,Square,Metal,BrandA,High
Red,Small,Triangle,Wood,BrandA,Low
Black,Small,Triangle,Wood,BrandC,High
Yellow,Large,Triangle,Glass,BrandC,High
Yellow,Medium,Round,Plastic,BrandC,Low
Yellow,Large,Triangle,Wood,BrandC,High
Yellow,Small,Round,Plastic,BrandB,Low
Yellow,Small,Round,Metal,BrandC,Low
Green,Small,Round,Wood,BrandB,Medium
Blue,Small,Square,Glass,BrandB,Medium
Yellow,Small,Round,Metal,BrandB,High
Red,Small,Round,Metal,BrandA,High
Red,Small,Square,Glass,BrandB,Low
Red,Medium,Round,Wood,BrandB,High
Red,Large,Triangle,Wood,BrandA,Low
Green,Small,Triangle,Metal,BrandA,Low
Red,Medium,Round,Wood,BrandA,High
Yellow,Medium,Square,Plastic,BrandC,Low
Black,Large,Triangle,Glass,BrandA,Medium
Red,Small,Square,Plastic,BrandA,High
Green,Large,Square,Wood,BrandB,Medium
Green,Small,Triangle,Metal,BrandA,High
Red,Medium,Square,Glass,BrandC,Low
Black,Medium,Triangle,Wood,BrandA,High
Red,Medium,Square,Wood,BrandC,Medium
Green,Medium,Triangle,Metal,BrandA,Low
Blue,Large,Round,Metal,BrandA,High
Yellow,Small,Triangle,Plastic,BrandA,High
Green,Small,Triangle,Glass,BrandA,High
Red,Large,Triangle,Glass,BrandC,Medium
Yellow,Small,Triangle,Metal,BrandC,Medium
Red,Medium,Square,Plastic,BrandB,High
Red,Small,Round,Glass,BrandC,Low
Blue,Medium,Triangle,Metal,BrandA,Low
Yellow,Large,Square,Wood,BrandB,Medium
Yellow,Small,Round,Glass,BrandB,Low
Blue,Large,Round,Plastic,BrandB,Medium
Green,Small,Round,Plastic,BrandA,High
Red,Medium,Round,Plastic,BrandC,Medium
Black,Large,Triangle,Wood,BrandA,Medium
Red,Small,Triangle,Glass,BrandB,High
Red,Medium,Square,Glass,BrandA,Low
Green,Large,Square,Wood,BrandA,Medium
Red,Large,Square,Glass,BrandC,Medium
Blue,Small,Round,Wood,BrandC,High
Blue,Small,Round,Wood,BrandB,Low
Yellow,Small,Triangle,Wood,BrandA,Medium
Black,Medium,Round,Plastic,BrandA,High
Red,Small,Round,Glass,BrandC,Medium
Red,Large,Round,Wood,BrandA,High
Green,Large,Square,Glass,BrandA,Low
Blue,Small,Square,Plastic,BrandA,Low
Black,Small,Triangle,Wood,BrandC,Low
Yellow,Large,Round,Metal,BrandB,Low
Blue,Medium,Round,Plastic,BrandB,Medium
Yellow,Small,Triangle,Metal,BrandA,Medium
Green,Small,Round,Glass,BrandB,Low
Green,Large,Round,Glass,BrandC,Low
Red,Small,Square,Plastic,BrandC,Low
Black,Medium,Triangle,Glass,BrandB,Medium
Yellow,Large,Triangle,Metal,BrandB,Low
Blue,Small,Triangle,Wood,BrandA,Low
Green,Large,Triangle,Wood,BrandB,Low
Red,Small,Square,Wood,BrandA,High
Red,Small,Square,Plastic,BrandA,Low
Yellow,Small,Round,Glass,BrandC,High
Green,Medium,Round,Metal,BrandC,High
Black,Medium,Round,Glass,BrandC,Low
Green,Large,Round,Glass,BrandC,High
Yellow,Small,Square,Glass,BrandB,Low
Yellow,Small,Triangle,Wood,BrandC,Medium
Green,Medium,Square,Metal,BrandB,Medium
Yellow,Small,Round,Metal,BrandC,Medium
Green,Medium,Square,Glass,BrandB,Medium
Blue,Small,Triangle,Wood,BrandA,High
Green,Large,Triangle,Wood,BrandB,Low
Green,Small,Square,Metal,BrandB,Low
Yellow,Small,Square,Wood,BrandC,Low
Yellow,Medium,Square,Wood,BrandB,Medium
Red,Small,Round,Wood,BrandA,Medium
Red,Small,Square,Plastic,BrandA,Low
Blue,Medium,Square,Glass,BrandC,Medium
Red,Large,Square,Metal,BrandA,Low
Green,Large,Triangle,Metal,BrandB,Low
Yellow,Medium,Triangle,Plastic,BrandA,Low
Red,Medium,Round,Glass,BrandC,Low
Red,Medium,Round,Metal,BrandB,Low
Blue,Medium,Triangle,Wood,BrandC,Low
Blue,Medium,Triangle,Metal,BrandB,Low
Green,Large,Triangle,Wood,BrandA,Medium
Yellow,Large,Square,Plastic,BrandC,Low
Blue,Medium,Square,Wood,BrandC,Low
Red,Small,Triangle,Metal,BrandB,Medium
Yellow,Medium,Square,Metal,BrandC,Medium
Yellow,Small,Square,Metal,BrandB,Medium
Red,Medium,Round,Plastic,BrandB,Low
Blue,Medium,Triangle,Plastic,BrandB,High
Red,Large,Triangle,Glass,BrandB,High
Yellow,Small,Square,Metal,BrandA,Medium
Black,Small,Triangle,Wood,BrandB,High
Black,Large,Round,Plastic,BrandC,Medium
Green,Large,Round,Metal,BrandA,Low
Red,Large,Round,Metal,BrandC,High
Red,Large,Triangle,Plastic,BrandA,Low
Green,Small,Triangle,Glass,BrandB,High
Green,Small,Triangle,Plastic,BrandA,Low
Green,Medium,Triangle,Plastic,BrandA,High
Yellow,Medium,Triangle,Wood,BrandC,Low
Red,Large,Round,Wood,BrandC,Low
Yellow,Large,Square,Glass,BrandB,High
Green,Large,Round,Metal,BrandA,Low
Red,Medium,Triangle,Plastic,BrandA,Low
Yellow,Medium,Round,Glass,BrandA,Low
Yellow,Medium,Triangle,Wood,BrandB,High
Green,Medium,Triangle,Plastic,BrandB,High
Red,Medium,Round,Metal,BrandB,Low
Green,Medium,Triangle,Wood,BrandB,Low
Red,Medium,Square,Wood,BrandB,High
Black,Large,Triangle,Wood,BrandC,High
Blue,Large,Square,Glass,BrandA,Low
Blue,Large,Square,Metal,BrandA,Low
Blue,Large,Triangle,Plastic,BrandA,Low
Green,Medium,Round,Glass,BrandA,Medium
Black,Small,Square,Glass,BrandA,High
Red,Medium,Round,Glass,BrandA,Medium
Yellow,Small,Square,Wood,BrandA,High
Red,Large,Triangle,Metal,BrandA,High
Yellow,Medium,Triangle,Glass,BrandC,High
Red,Large,Square,Plastic,BrandA,High
Black,Medium,Triangle,Metal,BrandC,High
Yellow,Large,Square,Plastic,BrandB,High
Green,Small,Triangle,Metal,BrandA,High
Red,Small,Round,Plastic,BrandB,Medium
Red,Small,Triangle,Wood,BrandB,Low
Yellow,Medium,Round,Glass,BrandB,Low
Green,Small,Triangle,Plastic,BrandC,Medium
Green,Medium,Round,Metal,BrandB,Medium
Black,Small,Triangle,Glass,BrandB,Medium
Green,Small,Round,Glass,BrandB,Medium
Green,Medium,Square,Metal,BrandA,High
Green,Medium,Square,Plastic,BrandA,Low
Blue,Small,Round,Wood,BrandC,High
Black,Medium,Triangle,Wood,BrandC,Low
Red,Small,Round,Plastic,BrandA,Low
Yellow,Medium,Triangle,Glass,BrandC,Medium
Red,Large,Square,Glass,BrandA,High
Black,Large,Triangle,Glass,BrandB,Medium
Yellow,Large,Square,Glass,BrandB,High
Black,Large,Triangle,Plastic,BrandC,Low
Green,Large,Triangle,Glass,BrandA,Medium
Yellow,Small,Triangle,Metal,BrandA,Medium
Green,Large,Round,Glass,BrandC,Low
Red,Large,Round,Wood,BrandA,Low
Red,Large,Square,Glass,BrandB,Low
Yellow,Large,Square,Plastic,BrandC,Medium
Yellow,Medium,Round,Wood,BrandC,High
Black,Small,Square,Plastic,BrandA,Medium
Black,Large,Round,Plastic,BrandC,High
Green,Large,Triangle,Wood,BrandA,Medium
Yellow,Large,Square,Plastic,BrandA,Medium
Red,Small,Square,Plastic,BrandA,Low
Black,Medium,Round,Glass,BrandA,High
Black,Small,Square,Metal,BrandA,Medium
Red,Medium,Square,Plastic,BrandC,Medium
Black,Large,Triangle,Plastic,BrandB,Low
Green,Large,Square,Plastic,BrandB,Low
Yellow,Small,Triangle,Glass,BrandC,High
Red,Small,Round,Metal,BrandC,Medium
Yellow,Medium,Square,Wood,BrandB,High
Black,Medium,Triangle,Glass,BrandB,Medium
Black,Small,Round,Glass,BrandB,High
Red,Medium,Square,Metal,BrandB,Low
Green,Small,Round,Metal,BrandB,Medium
Blue,Medium,Square,Glass,BrandA,High
Red,Small,Round,Wood,BrandC,Low
Blue,Small,Round,Glass,BrandA,Low
Blue,Small,Triangle,Metal,BrandB,High
Green,Medium,Round,Wood,BrandB,Medium
Blue,Medium,Square,Metal,BrandB,Medium
Blue,Medium,Square,Wood,BrandA,Low
Green,Small,Triangle,Plastic,BrandA,Medium
Blue,Medium,Square,Metal,BrandB,Medium
Blue,Medium,Square,Metal,BrandA,Medium
Blue,Small,Square,Glass,BrandA,Low
Red,Large,Round,Metal,BrandB,High
Red,Small,Round,Metal,BrandA,Medium
Red,Medium,Square,Plastic,BrandC,Low
Green,Small,Triangle,Metal,BrandC,Low
Black,Large,Round,Plastic,BrandC,High
Blue,Small,Triangle,Plastic,BrandC,Medium
Blue,Medium,Square,Plastic,BrandB,Medium
Green,Large,Square,Plastic,BrandB,High
Blue,Medium,Round,Wood,BrandB,High
Red,Large,Square,Glass,BrandC,Low
Black,Large,Round,Wood,BrandC,Low
Yellow,Small,Square,Metal,BrandA,High
Blue,Small,Square,Wood,BrandA,Medium
Red,Medium,Round,Wood,BrandC,Low
Yellow,Small,Round,Metal,BrandC,Low
Black,Small,Round,Metal,BrandC,Medium
Yellow,Large,Square,Metal,BrandC,Low
Red,Small,Square,Wood,BrandA,Medium
Yellow,Large,Triangle,Wood,BrandC,Medium
Green,Large,Round,Metal,BrandA,Medium
Yellow,Large,Square,Glass,BrandC,High
Blue,Medium,Square,Glass,BrandC,High
Blue,Medium,Round,Plastic,BrandC,High
Green,Medium,Triangle,Metal,BrandA,Medium
Red,Large,Round,Plastic,BrandA,Medium
Blue,Medium,Triangle,Glass,BrandB,High
Black,Medium,Square,Plastic,BrandC,Low
Blue,Small,Triangle,Metal,BrandB,Medium
Blue,Medium,Square,Metal,BrandB,Low
Red,Medium,Round,Metal,BrandA,Low
Yellow,Large,Round,Wood,BrandA,Medium
Blue,Large,Round,Plastic,BrandB,Medium
Green,Large,Triangle,Glass,BrandC,Low
Yellow,Large,Square,Glass,BrandA,Low
Black,Large,Round,Glass,BrandC,High
Red,Large,Round,Wood,BrandC,High
Black,Medium,Square,Wood,BrandB,Medium
Yellow,Large,Round,Metal,BrandB,High
Yellow,Large,Square,Glass,BrandB,High
Yellow,Small,Square,Wood,BrandB,High
Black,Medium,Square,Metal,BrandA,High
Yellow,Medium,Square,Glass,BrandA,Low
Black,Medium,Square,Plastic,BrandB,Medium
Yellow,Large,Triangle,Metal,BrandA,High
Green,Large,Round,Wood,BrandB,Low
Yellow,Large,Triangle,Wood,BrandC,Low
Black,Small,Round,Metal,BrandC,Low
Blue,Large,Triangle,Metal,BrandC,High
Yellow,Small,Square,Wood,BrandB,High
Blue,Medium,Round,Plastic,BrandC,Medium
Green,Large,Round,Glass,BrandA,High
Red,Small,Triangle,Plastic,BrandC,High
Green,Small,Triangle,Metal,BrandC,Low
Yellow,Large,Round,Plastic,BrandC,Medium
Blue,Medium,Triangle,Wood,BrandA,High
Blue,Medium,Triangle,Metal,BrandB,High
Black,Medium,Triangle,Glass,BrandA,Low
Blue,Small,Square,Wood,BrandB,Low
Black,Small,Square,Wood,BrandB,High
Red,Small,Triangle,Glass,BrandC,Medium
Yellow,Small,Triangle,Glass,BrandB,Medium
Black,Medium,Square,Plastic,BrandA,Low
Red,Large,Square,Metal,BrandA,Low
Blue,Small,Round,Glass,BrandB,High
Blue,Small,Round,Glass,BrandC,Low
Red,Medium,Square,Metal,BrandC,High
Blue,Large,Triangle,Glass,BrandA,Medium
Red,Large,Triangle,Glass,BrandC,Medium
Black,Medium,Triangle,Plastic,BrandB,High
Black,Medium,Triangle,Wood,BrandB,Low
Red,Large,Round,Wood,BrandA,Medium
Black,Small,Square,Wood,BrandB,Low
Black,Large,Triangle,Wood,BrandA,Medium
Black,Medium,Round,Glass,BrandB,High
Green,Small,Triangle,Metal,BrandA,High
Yellow,Small,Square,Metal,BrandC,High
Blue,Medium,Round,Plastic,BrandB,Medium
Green,Medium,Square,Plastic,BrandB,Low
Black,Medium,Square,Glass,BrandA,Low
Red,Large,Round,Metal,BrandA,Low
Black,Large,Round,Metal,BrandB,Medium
Yellow,Small,Round,Wood,BrandA,Medium
Black,Medium,Round,Glass,BrandB,Medium
Red,Small,Round,Glass,BrandC,Medium
Yellow,Small,Round,Wood,BrandA,Medium
Black,Small,Round,Glass,BrandB,Low
Yellow,Small,Triangle,Glass,BrandC,Medium
Blue,Medium,Square,Plastic,BrandC,Medium
Blue,Small,Round,Metal,BrandB,Low
Black,Medium,Triangle,Glass,BrandA,Medium
Yellow,Medium,Triangle,Plastic,BrandB,Low
Red,Large,Triangle,Metal,BrandC,Low
Black,Medium,Square,Wood,BrandB,High
Blue,Large,Round,Plastic,BrandA,High
Blue,Medium,Triangle,Plastic,BrandC,High
Black,Medium,Square,Metal,BrandB,High
Yellow,Medium,Square,Wood,BrandA,Medium
Blue,Large,Square,Plastic,BrandC,High
Yellow,Large,Triangle,Glass,BrandA,Low
Blue,Small,Round,Glass,BrandC,Medium
Blue,Large,Triangle,Glass,BrandB,High
Green,Large,Triangle,Wood,BrandA,Low
Blue,Large,Round,Plastic,BrandC,Medium
Red,Large,Round,Glass,BrandA,Medium
Black,Small,Round,Wood,BrandA,High
Black,Large,Square,Glass,BrandB,Medium
Yellow,Medium,Round,Metal,BrandA,Low
Blue,Medium,Triangle,Plastic,BrandC,Medium
Red,Large,Round,Plastic,BrandC,Low
Yellow,Large,Triangle,Wood,BrandC,Medium
Green,Medium,Square,Wood,BrandC,High
Yellow,Medium,Triangle,Plastic,BrandB,Low
Yellow,Small,Triangle,Glass,BrandA,Medium
Blue,Medium,Round,Glass,BrandB,Medium
Green,Medium,Round,Metal,BrandA,Medium
Yellow,Large,Triangle,Glass,BrandA,Low
Red,Medium,Round,Wood,BrandA,Low
Red,Small,Square,Wood,BrandB,Low
Black,Medium,Square,Glass,BrandA,High
Green,Large,Round,Wood,BrandB,High
Green,Large,Square,Plastic,BrandC,Low
Black,Medium,Round,Plastic,BrandC,Medium
Yellow,Large,Triangle,Glass,BrandA,High
Green,Small,Triangle,Plastic,BrandB,Low
Red,Small,Square,Plastic,BrandC,Medium
Red,Medium,Round,Metal,BrandB,High
Blue,Medium,Round,Metal,BrandB,Medium
Green,Medium,Square,Plastic,BrandA,Medium
Yellow,Large,Triangle,Glass,BrandC,Medium
Black,Small,Square,Metal,BrandA,Medium
Black,Small,Triangle,Wood,BrandA,High
Yellow,Large,Round,Wood,BrandC,High
Blue,Small,Triangle,Wood,BrandC,High
Black,Medium,Square,Glass,BrandB,Low
Green,Medium,Round,Plastic,BrandC,High
Blue,Medium,Square,Wood,BrandB,Medium
Green,Small,Square,Glass,BrandB,High
Red,Medium,Triangle,Metal,BrandB,Medium
Blue,Large,Square,Plastic,BrandC,Low
Black,Large,Triangle,Metal,BrandA,Medium
Blue,Small,Round,Glass,BrandB,Medium
Blue,Large,Triangle,Wood,BrandA,Medium
Blue,Large,Round,Wood,BrandA,Low
Blue,Small,Triangle,Glass,BrandC,High
Green,Medium,Square,Wood,BrandA,High
Red,Medium,Triangle,Plastic,BrandA,Low
Yellow,Medium,Triangle,Glass,BrandC,Medium
Blue,Small,Round,Metal,BrandB,High
Black,Large,Square,Glass,BrandA,Low
Blue,Medium,Triangle,Plastic,BrandC,High
Black,Medium,Square,Plastic,BrandA,Low
Green,Small,Triangle,Glass,BrandA,Medium
Black,Medium,Triangle,Glass,BrandB,High
Yellow,Small,Square,Wood,BrandA,Low
Red,Large,Triangle,Plastic,BrandC,High
Black,Small,Square,Glass,BrandA,High
Black,Small,Triangle,Glass,BrandB,High
Red,Small,Round,Plastic,BrandB,High
Yellow,Small,Square,Glass,BrandC,Low
Blue,Large,Triangle,Wood,BrandB,Medium
Black,Large,Triangle,Plastic,BrandA,Low
Red,Medium,Round,Wood,BrandB,Low
Green,Large,Square,Wood,BrandC,Low
Red,Large,Triangle,Wood,BrandB,Medium
Green,Medium,Round,Wood,BrandB,High
Yellow,Large,Triangle,Plastic,BrandB,High
Blue,Small,Square,Wood,BrandC,High
Red,Small,Triangle,Wood,BrandB,Medium
Black,Medium,Triangle,Glass,BrandB,High
Yellow,Medium,Triangle,Plastic,BrandA,Medium
Red,Medium,Triangle,Plastic,BrandC,High
Black,Small,Round,Metal,BrandB,High
Red,Large,Round,Plastic,BrandC,Low
Green,Small,Square,Plastic,BrandB,Medium
Red,Medium,Round,Metal,BrandB,Low
Red,Large,Round,Plastic,BrandB,Low
Red,Large,Square,Plastic,BrandA,Low
